Model,MAE,MSE,R2
Random Forest,1.4087503580559948,14.974371979556885,0.994191999386795
Gradient Boosting,10.077951133718638,230.2701580232394,0.9106867906829332
Support Vector Regressor (SVR),28.803462289815126,1676.8013873405969,0.3496312567102834
K-Nearest Neighbors (KNN),9.053376335416248,430.0165208627293,0.8332126235231327
